ID_progressive number,case/control,GRA ring residence_inside/outside_,ENCI breed,necropsy/biopsy,sex,reproductive status,size,age (years),weight (Kg),Nutrition habit,Living environment,habitat
298,case,outside,mixed breed,necropsy,M,neutered,medium,10,nd,homemade food,outdoor,urban
299,control,outside,mixed breed,biopsy,M,intact male,large,12,32,dry food,indoor,urban
300,control,inside,Yorkshire Terrier,biopsy,F,spayed,small,16,5,canned food,indoor,urban
301,control,outside,mixed breed,necropsy,M,intact male,small,13,nd,nd,indoor and outdoor,urban
302,control,outside,Cane Da Pastore Tedesco,biopsy,F,intact female,medium,5,38,dry food,outdoor,rural
303,control,outside,Boxer,biopsy,F,spayed,medium,7,nd,dry food,indoor,rural
304,case,outside,mixed breed of/ Patore Tedesco/Labrador,necropsy,M,intact male,medium,6,nd,nd,indoor,urban
305,control,outside,mixed breed,biopsy,F,spayed,large,16,30,canned and dry food,indoor,urban
306,control,outside,mixed breed,necropsy,M,intact male,small,11,nd,nd,outdoor,rural
307,case,outside,mixed breed,necropsy,F,spayed,large,12,nd,homemade food,indoor and outdoor,urban
308,case,outside,mixed breed,biopsy,M,intact male,medium,10,nd,canned and dry food,indoor,rural
309,control,outside,Epagneul Breton,biopsy,F,intact female,medium,11,15,"homemade, canned and dry food",outdoor,urban
310,control,outside,Labrador Retriever,biopsy,M,intact male,medium,7,30,dry food,outdoor,rural
311,control,outside,Cane Da Pastore Tedesco,biopsy,F,spayed,medium,9,35,nd,indoor,urban
312,control,inside,mixed breed,biopsy,F,spayed,large,8,23,dry food,indoor,urban
313,control,inside,Carlino,biopsy,M,intact male,small,10,10,dry food,indoor,urban
314,control,outside,Labrador Retriever,biopsy,M,intact male,medium,6,40,dry food,outdoor,rural
315,control,outside,Yorkshire Terrier,necropsy,F,nd,small,15,15,nd,indoor,urban
316,case,inside,mixed breed,necropsy,F,spayed,small,11,nd,nd,indoor,urban
317,control,outside,Cane Corso,biopsy,F,spayed,large,6,40,dry food,indoor,urban
318,control,outside,mixed breed,necropsy,M,nd,large,5,nd,nd,indoor,urban
319,control,inside,Terranova,biopsy,M,intact male,large,9,40,dry food,shelter,urban
320,case,outside,Bassotto,necropsy,F,nd,small,8,7.5,dry food,indoor,urban
321,control,outside,Labrador Retriever,necropsy,M,nd,medium,7,nd,nd,outdoor,rural
322,control,inside,Pinscher,biopsy,M,intact male,small,10,5,dry food,indoor,urban
323,control,outside,Boxer,biopsy,M,nd,medium,7,37,dry food,indoor,urban
324,control,outside,mixed breed,biopsy,F,spayed,medium,10,18,canned and dry food,indoor,urban
325,control,outside,Segugio Francese,biopsy,F,spayed,medium,2,32,"homemade, canned and dry food",indoor,urban
326,case,outside,mixed breed of/ Maremmano,necropsy,F,nd,large,8,nd,dry food,indoor and outdoor,rural
327,control,outside,Chihuahua A Pelo Corto,necropsy,M,nd,small,4,nd,nd,indoor,urban
328,control,inside,mixed breed,biopsy,F,spayed,small,12,nd,homemade food,indoor,urban
329,case,outside,Cane Da Pastore Tedesco,necropsy,M,intact male,medium,8,nd,nd,indoor and outdoor,rural
330,case,outside,mixed breed,biopsy,F,nd,small,12,nd,nd,indoor and outdoor,urban
331,control,outside,mixed breed,biopsy,F,spayed,small,16,22,homemade food,shelter,urban
332,control,outside,Siberian Husky,necropsy,M,intact male,medium,16,nd,nd,outdoor,rural
333,control,outside,mixed breed,biopsy,M,intact male,medium,6,26,dry food,indoor,urban
334,case,inside,Epagneul Breton,biopsy,F,nd,medium,16,16.6,dry food,indoor,urban
335,control,outside,mixed breed,biopsy,M,neutered,small,13,13.5,canned and dry food,outdoor,urban
336,control,inside,mixed breed,biopsy,F,spayed,small,14,23,homemade and dry food,indoor and outdoor,urban
337,control,inside,mixed breed,biopsy,F,spayed,small,11,10,canned and dry food,indoor,urban
338,control,inside,mixed breed,biopsy,F,nd,large,11,40,canned and dry food,indoor,urban
339,control,outside,Boxer,biopsy,M,intact male,medium,7,34,dry food,indoor and outdoor,urban
340,control,outside,mixed breed,necropsy,M,nd,large,8,nd,canned and dry food,outdoor,urban
341,control,inside,mixed breed,biopsy,F,spayed,small,15,13,dry food,indoor,urban
342,control,inside,mixed breed,necropsy,M,intact male,small,11,nd,nd,indoor,urban
343,control,outside,Labrador Retriever,necropsy,F,nd,medium,3,nd,canned and dry food,outdoor,urban
344,case,outside,Nd,biopsy,M,nd,medium,10,nd,nd,indoor and outdoor,urban
345,control,outside,mixed breed,biopsy,F,intact female,medium,9,14,homemade food,indoor and outdoor,rural
346,control,outside,Cane Corso,biopsy,F,intact female,large,4,39,dry food,outdoor,urban
347,control,inside,Bulldogue Francese,biopsy,M,intact male,small,1,13,dry food,indoor,urban
348,case,outside,mixed breed,necropsy,F,nd,medium,10,nd,nd,indoor and outdoor,urban
349,control,outside,mixed breed,biopsy,F,nd,small,14,10,canned food,indoor,urban
350,control,inside,mixed breed,biopsy,F,intact female,small,6,6,dry food,indoor,urban
351,control,outside,Schwarze,necropsy,F,spayed,large,9,nd,nd,outdoor,urban
352,case,outside,mixed breed,necropsy,M,neutered,medium,7,nd,nd,indoor,urban
353,control,outside,Cane Da Pastore Maremmano Abruzzese,necropsy,F,spayed,large,10,45,homemade and canned food,outdoor,rural
354,control,inside,Labrador Retriever,necropsy,M,nd,medium,13,nd,nd,indoor,urban
355,control,outside,Cane Da Pastore Maremmano Abruzzese,necropsy,M,nd,large,12,30,nd,indoor,urban
356,control,inside,Cocker,necropsy,F,nd,small,11,nd,homemade food,indoor and outdoor,urban
357,case,outside,mixed breed,necropsy,M,nd,medium,10,nd,dry food,outdoor,rural
358,control,outside,Cane Corso,necropsy,M,intact male,large,2,nd,homemade food,indoor and outdoor,urban
359,control,outside,American Staffordshire Terrier,necropsy,M,neutered,medium,5,nd,nd,indoor,urban
360,control,inside,Boxer,biopsy,M,intact male,medium,5,40.5,canned and dry food,indoor and outdoor,urban
361,control,inside,mixed breed,biopsy,M,intact male,medium,8,nd,dry food,indoor,urban
362,case,inside,mixed breed,necropsy,M,nd,large,16,31,nd,outdoor,rural
363,control,inside,mixed breed,necropsy,F,spayed,large,13,40,dry food,indoor and outdoor,urban
364,control,outside,Cocker Spaniel Inglese,biopsy,M,nd,small,14,16,dry food,indoor and outdoor,rural
365,control,outside,mixed breed,biopsy,M,intact male,large,1,28,dry food,indoor,rural
366,case,outside,mixed breed,biopsy,M,nd,small,15,nd,dry food,indoor,rural
367,case,outside,mixed breed,biopsy,M,neutered,medium,10,nd,nd,indoor,urban
368,case,inside,Beagle,biopsy,F,spayed,small,11,13,homemade and dry food,indoor,urban
369,control,outside,mixed breed,necropsy,M,nd,large,11,nd,nd,nd,nd
370,control,inside,Barboncino Toy,necropsy,F,intact female,small,1,nd,nd,indoor,urban
371,control,inside,mixed breed,necropsy,F,spayed,medium,10,nd,nd,indoor and outdoor,urban
372,control,inside,Setter Inglese,necropsy,M,intact male,medium,6,nd,nd,indoor,urban
